#MIPEequivalents,correctionfactor
0.015328019619865114,1.0
0.935009196811772,1.0029430624290951
1.870018393623544,1.0051162062630272
2.789699570815451,1.0080756832205249
3.724708767627223,1.0106345370836332
4.64438994481913,1.0128833412447433
5.579399141630902,1.016053080399387
6.514408338442673,1.0192750915548863
7.4340895156345805,1.0214246451865627
8.369098712446352,1.024297999429695
9.28877988963826,1.0268819390784496
10.223789086450031,1.0294178927337294
11.158798283261804,1.03282628372646
12.07847946045371,1.0355558359090813
13.013488657265482,1.0379950190910392
13.93316983445739,1.0410248540389244
14.868179031269161,1.0436066184025503
15.803188228080932,1.0463308394597646
16.72286940527284,1.0492422566690838
17.65787860208461,1.051948158679805
18.57755977927652,1.054584309316887
19.51256897608829,1.0569288619624337
20.447578172900062,1.060100717514946
21.36725935009197,1.0625834192775805
22.302268546903743,1.065880967102005
23.221949724095648,1.0688584732609
24.15695892090742,1.071461593268828
25.091968117719194,1.074287964299777
26.0116492949111,1.0766652941351877
26.94665849172287,1.0799925543175437
27.86633966891478,1.082664211516141
28.80134886572655,1.0853799494105503
29.736358062538322,1.0881557610836237
30.65603923973023,1.0912324925386978
31.591048436542,1.0939188514966678
32.51072961373391,1.096895542549566
33.44573881054568,1.0997645737706654
34.380748007357454,1.1023261391358707
35.30042918454936,1.105330881735355
36.23543838136113,1.1082233548227405
37.15511955855304,1.1106249327050177
38.09012875536481,1.1140645153191717
39.02513795217658,1.117118903836948
39.94481912936849,1.119376860169384
40.87982832618026,1.1224374273750999
41.79950950337217,1.1252404598012282
42.73451870018394,1.1282205679303707
43.66952789699571,1.1315726238067152
44.58920907418762,1.1341395900099027
45.52421827099939,1.1369160864056225
46.443899448191296,1.1396804381187373
47.37890864500307,1.142953493884219
48.29858982219498,1.145734439046455
49.233599019006746,1.1486894854858147
50.16860821581852,1.1519147899805584
51.08828939301043,1.1543280896199133
52.0232985898222,1.1575957071412468
52.94297976701411,1.1606412895954592
53.87798896382588,1.1637612365865344
54.81299816063765,1.1670146062843214
55.73267933782956,1.1692295818943061
56.66768853464133,1.1722838734390029
57.58736971183323,1.1752197241721458
58.52237890864501,1.1785714836943184
59.45738810545678,1.1810480606484468
60.377069282648684,1.1839430985945973
61.31207847946046,1.1870366105831436
62.231759656652365,1.190123731829361
63.166768853464134,1.193154345704963
64.10177805027591,1.196580218371598
65.02145922746782,1.1995595393827103
65.95646842427959,1.2025223066071375
66.8761496014715,1.205205670847641
67.81115879828327,1.2082172977717622
68.74616799509504,1.2112547032331453
69.66584917228694,1.2142059694052154
70.60085836909872,1.2178538538358563
71.52053954629062,1.2205017083361889
72.4555487431024,1.2239620015080082
73.39055793991417,1.226673225320503
74.31023911710608,1.2294748331725902
75.24524831391784,1.2327564147154302
76.16492949110976,1.2360321403181296
77.09993868792152,1.2386230746860163
78.0349478847333,1.2417154942239865
78.9546290619252,1.2452297619341166
79.88963825873698,1.247914555683039
80.80931943592888,1.251200590095817
81.74432863274066,1.2547131146576749
82.67933782955242,1.2573344509639564
83.59901900674434,1.2605030363932697
84.5340282035561,1.263483650086279
85.45370938074801,1.2667120789574018
86.38871857755979,1.2700836483941533
87.32372777437156,1.2728931406543569
88.24340895156347,1.2757784475657716
89.17841814837524,1.2792545934320896
90.09809932556715,1.2827938455575572
91.03310852237891,1.285494218306312
91.96811771919069,1.2883562442440002
