layer,strip,end,adc_fit_k,adc_fit_m,tot_fit_k,tot_fit_m
1,0,0,2.197458594502865,618.6329537447351,0.32577110185446695,39.56266342155635
1,0,1,2.20056400066379,674.2812923592736,0.32434137677437186,48.78416546861686
1,1,0,2.2009190298568235,609.8238861847814,0.32037818565552284,55.95805176009586
1,1,1,2.2035187981048283,614.4105495024424,0.3199231128184627,57.90112119735717
1,2,0,2.2008956466599763,594.7355134727974,0.31374813053392986,75.0826936785436
1,2,1,2.1984179003539523,667.8505035007165,0.3145756918445289,77.82085874303667
1,3,0,2.202507654650036,591.4359765953136,0.32510207428060295,41.60902161997171
1,3,1,2.2077520557736032,654.6499261858423,0.32573024421029056,45.02935899304897
1,4,0,2.2057744822607783,663.3617752358767,0.3164808119964621,72.66834386576335
1,4,1,2.203390887309333,610.6258673922274,0.3165427110721246,69.23846943135176
1,5,0,2.202934172327395,639.895282189934,0.31469583110656896,76.09078438982947
1,5,1,2.200505144144656,601.0421026828328,0.31292192825144943,78.04676012207364
1,6,0,2.201345443329106,660.0489677510026,0.3224307734166832,53.19929321957868
1,6,1,2.202805969203967,675.2318460073438,0.32191464348466264,56.238857751962186
1,7,0,2.197383616310296,574.9566667265609,0.325657027851525,37.6798710065914
1,7,1,2.1996083625614005,682.0621567299653,0.3253644619670248,46.15769379007318
2,0,0,2.198784666577766,613.1126424326466,0.3227408375332979,55.56592518588701
2,0,1,2.2046090389669053,609.7397752835101,0.3228160499200128,55.0671330841339
2,1,0,2.198504123857104,617.1238440754464,0.32237606908456595,57.80128930790378
2,1,1,2.199703842996743,657.0377380212441,0.3225471053883789,60.488330149648704
2,2,0,2.1952892503290107,617.2276167617937,0.32211743351499994,58.540681788279144
2,2,1,2.2001746144070995,671.6958327118383,0.3224212473425691,61.11781025117382
2,3,0,2.1996477291855387,683.9256373208005,0.3199682590279392,74.56460064512302
2,3,1,2.2015000949147785,687.139555879031,0.3201453097832111,74.50026540600723
2,4,0,2.198214786571173,602.453112993611,0.319977712333532,67.47286211165016
2,4,1,2.1991806250514476,611.2596485282959,0.3203860338867847,66.03250515459482
2,5,0,2.2026403534544357,609.296832740875,0.32262085894644676,57.542255501473406
2,5,1,2.202231563558951,606.5672171306678,0.32372151275827854,52.36889618911105
2,6,0,2.2063941331307957,683.831083240018,0.3216078738766398,68.93446994084879
2,6,1,2.210543353011786,648.8814950837859,0.32131524707656833,67.24699786875306
2,7,0,2.200321640074961,684.7368177350635,0.31741137967238187,85.44632084098896
2,7,1,2.202402560363323,664.2588926093028,0.3175737257359676,83.48262979601718
3,0,0,2.203694630790712,583.2921845277414,0.3230922083577513,54.858010902074945
3,0,1,2.2059327431495945,613.2995628560176,0.32335351044862226,55.83725918907045
3,1,0,2.2085971603382264,578.9753093363933,0.31561754493779115,99.49634146263858
3,1,1,2.2127920619158843,582.1647859045099,0.3150846373197163,102.31540209401176
3,2,0,2.210573836326577,614.7865155130849,0.31405187168731463,111.59591998807561
3,2,1,2.211770376775882,684.2184935577869,0.3140724768524449,116.95836339013638
3,3,0,2.210152991257775,646.1435985636747,0.315067410523252,106.7534602897719
3,3,1,2.2062974204019903,606.0067975272301,0.31480598425383755,104.9219301098358
3,4,0,2.2157452870733807,585.390410646865,0.320069443164913,73.4450625131261
3,4,1,2.2179641354599213,621.5099193224278,0.3201445235362159,75.69466400511418
3,5,0,2.2057677789979966,675.3333052936537,0.31980595814575163,82.66004660621186
3,5,1,2.203514623240631,668.5056816767549,0.3195053923250182,82.86187430400508
3,6,0,2.203845053074311,632.9762273267789,0.31398729771995604,112.14173341973851
3,6,1,2.2109208451846603,672.8617478901655,0.3140044094781587,115.01477744453474
3,7,0,2.2119112505952794,630.1459330311271,0.3210844974808854,68.84438826727026
3,7,1,2.2075172975441473,608.9391623359003,0.3212812586321093,66.15825838910499
4,0,0,2.210977702818108,671.7693088704538,0.3166250697764415,94.40119752532607
4,0,1,2.2075796478988012,606.6775687866768,0.3164885407628264,90.21378530214194
4,1,0,2.2066003957762925,656.9087215883707,0.31967995899188817,76.60179810757847
4,1,1,2.2091746307669515,643.4163724633804,0.3197593579679156,75.4635755833107
4,2,0,2.2092483431268475,678.4201453077621,0.31681024948573966,94.98161518122932
4,2,1,2.2061279587567415,645.2027148373116,0.3168967212389847,91.52424725067019
4,3,0,2.208400133690911,640.9130711344122,0.3201720792022391,74.120540276963
4,3,1,2.207057773557831,626.0592029137922,0.3205333429957787,70.98126291361288
4,4,0,2.2112480096847076,643.8252205807684,0.3181317336437881,84.7995659320314
4,4,1,2.2120392553486887,604.2553869129388,0.31822711729557523,82.17667129001401
4,5,0,2.203903507713001,613.2699334776103,0.31268268473471844,108.16648440337252
4,5,1,2.209178780856164,601.1933571368971,0.3132723342160727,103.75377641554364
4,6,0,2.206012954501766,610.7711257955098,0.31970924434574527,74.0513391474529
4,6,1,2.2065661811561106,612.9257774283126,0.31939596798532816,75.30400072484126
4,7,0,2.213122043790182,653.138315576722,0.31490218773881684,102.73325344352907
4,7,1,2.2111060613325164,592.6899364416605,0.3151090470592174,97.18562623825807
5,0,0,2.206877139372641,662.1227854305414,0.317501225173316,78.30356290826258
5,0,1,2.2062836463527895,615.404627793797,0.3171606787118893,75.984255826779
5,1,0,2.2016261801816253,570.9825234078813,0.3133199955708801,90.72874709497678
5,1,1,2.20795293613616,684.1350942543331,0.3136183525894786,99.404156868625
5,2,0,2.2030023496675075,608.5145936031134,0.3172993356552319,78.25178936945318
5,2,1,2.2039064471421193,647.0153523786049,0.317660479231839,79.59996944694514
5,3,0,2.204226612496682,609.4598435233913,0.32112380955734837,61.31799886951902
5,3,1,2.204873107707519,644.6799321801352,0.3211446098036228,64.15710569515947
5,4,0,2.2071188035786578,671.1308083488093,0.3147981931602453,92.41362378837458
5,4,1,2.2034139761228766,596.1635146675987,0.3152364879290319,84.03429990566059
5,5,0,2.2068179016745164,667.7776290716637,0.3088626624177239,119.95541310384506
5,5,1,2.2080697955641475,591.7184675248625,0.30758991831186655,119.82557406447525
5,6,0,2.2074425001240745,658.3517775960819,0.3199590586827041,69.2742441849153
5,6,1,2.205743803417064,610.9041305287445,0.31954446594794705,68.45335922907472
5,7,0,2.1996544258262976,587.2836157703642,0.3202149408375699,64.26609876148699
5,7,1,2.2014006877849517,578.7875567827209,0.3206510271122278,62.08702252490066
6,0,0,2.2064318291483627,690.9686351777736,0.3218705594157337,61.73206189362825
6,0,1,2.2031382771206585,644.8582417388512,0.3216510193331934,58.77883408030519
6,1,0,2.201160247626883,593.67653355003,0.31597617728669336,73.22297872000028
6,1,1,2.2031967927439005,615.006762532838,0.31652290589628895,73.65711975895762
6,2,0,2.2055867492742203,655.9080815746913,0.3223575351360369,58.80123055396735
6,2,1,2.203506968041454,651.56329272719,0.3217096430102976,60.10680873633755
6,3,0,2.200362141885309,619.003566240719,0.320610760963059,59.46686040214248
6,3,1,2.1985387064980655,614.488662019484,0.32080040483700745,58.39315655347336
6,4,0,2.202251856561238,617.0848932055317,0.3171567058880035,74.95489653329935
6,4,1,2.2068839388430637,674.6651435527201,0.31663234160612114,81.4682046147265
6,5,0,2.2071022255940167,656.5853301547244,0.32110271136851914,60.349742747479226
6,5,1,2.2045320232666015,588.512553130141,0.32085796206016387,56.45081008620178
6,6,0,2.202210244972394,659.3357684711326,0.31693557927241334,75.99768813864817
6,6,1,2.2065896689077653,695.681666636542,0.31673569615072855,78.93021464270512
6,7,0,2.200920956132087,610.8270334002225,0.323346834472181,49.98631196382369
6,7,1,2.202902204572839,616.6275993783189,0.3234939851577567,50.24056693485167
7,0,0,2.204928523374575,635.0903958296624,0.31789517363143693,68.81333936013561
7,0,1,2.207291696231056,639.2972940323037,0.3185598209132172,67.17915921769439
7,1,0,2.2050336232322065,600.2680170189577,0.3205175429800647,60.20950718026705
7,1,1,2.2044447622513745,580.8434386899146,0.32118666566400333,56.71331725368215
7,2,0,2.203258810176065,596.0296567087194,0.3188340855918401,62.874683036869264
7,2,1,2.204505595554874,619.8723112866459,0.3192496713010809,63.418468493388346
7,3,0,2.203395705484356,647.6154759263081,0.31779234328951633,68.47492081551427
7,3,1,2.201275962307258,584.4521450682425,0.31830641999525666,61.986705276524035
7,4,0,2.2078104292163556,650.3140764992886,0.3133255924510968,84.75374893965582
7,4,1,2.2034790829981,616.8556596764068,0.3112839636797989,88.54106714365905
7,5,0,2.2083306763585333,657.7803908799868,0.316746654423439,72.99288185608327
7,5,1,2.2072079057938665,653.2706922282705,0.3151119546540973,77.95140717850619
7,6,0,1.5279725976217877,1550.6504400780543,0.32075023267649766,88.18247840588025
7,6,1,2.2038832530251478,637.3351267195865,0.31951721320334786,62.59904468416541
7,7,0,2.2002697184743796,595.7332266615907,0.32462640495782347,41.13592419361769
7,7,1,2.2024896335578568,668.7593402032229,0.3244970198264167,46.62381834094512
8,0,0,2.2142112588100638,646.6775962707345,0.3247866629103795,45.27955253131968
8,0,1,2.21249264017616,643.4775156677202,0.32423864912497613,46.45392122225823
8,1,0,2.211856469690322,628.8724920228071,0.315974239145328,71.56063083978505
8,1,1,2.210950183102769,665.7930516336423,0.31448937600749843,78.7393183313929
8,2,0,2.2102541001772025,603.1571332727577,0.3263479305258667,40.62686084695224
8,2,1,2.2142492740294366,657.1433713268055,0.3268198160376803,43.53089673240943
8,3,0,2.208021177945727,610.7317332876413,0.31831295925290476,62.09179623700837
8,3,1,2.2056769842734294,594.2733552949873,0.3173695577394398,63.6013197016978
8,4,0,2.20768325687047,596.74248635231,0.3249886961813256,40.75350153282695
8,4,1,2.2103867931576007,666.9878466667114,0.3245230175451625,46.919508774590625
8,5,0,2.210056251788844,606.9432829968988,0.3278280987554681,35.4475188985737
8,5,1,2.2151127570962874,664.365262703355,0.3284409391143263,37.553519768325835
8,6,0,2.2122137574041503,657.3543688742504,0.32473663085428095,46.212826248153384
8,6,1,2.209323412848516,611.2730020206727,0.32353270090239544,45.941619978863535
8,7,0,2.212595802515292,651.9874328222462,0.30901611003838725,93.71444633801734
8,7,1,2.209518707415906,603.5547300137137,0.30830217160593243,92.39297202988686
9,0,0,2.2131822345781442,599.9894677497879,0.3045143254012772,97.83178372493789
9,0,1,2.2146047646965776,601.838651237298,0.3061476930449033,93.3978938937119
9,1,0,2.2139282986460294,600.3874186240319,0.32588735326180973,39.1146491479469
9,1,1,2.2115931556071566,558.1264830020873,0.32651741457225064,33.91538109290561
9,2,0,2.213883293057958,640.5521083774485,0.31681646489275445,68.86795745029019
9,2,1,2.216772263945639,637.9819712809126,0.31630418178980074,68.83045081559447
9,3,0,2.2099255167374685,604.6399567437832,0.32196330972355225,48.60903895213972
9,3,1,2.2130327626903195,643.6814802430399,0.3240047855597119,46.88920619326424
9,4,0,2.2111501507297455,642.5731256148786,0.32186034598337887,53.15438414792713
9,4,1,2.2125626848415862,676.8275161912261,0.3225154394234314,54.275640096604285
9,5,0,2.2120924405778206,685.1442353162456,0.3262409599404149,44.654857765829306
9,5,1,2.2128317037120384,680.8301477397439,0.32558601519034736,46.0490554199306
9,6,0,2.2155990239370467,639.2821881050608,0.32494660073871035,44.05108546840694
9,6,1,2.212964522438894,604.5477963805008,0.3264293868883333,38.8437538336839
9,7,0,2.2122759856350016,654.685471014306,0.32363360023894716,48.52405830944326
9,7,1,2.209700316882492,611.0397845304278,0.3258486493390561,39.275706870813416
10,0,0,2.2152315030725584,598.6600159851974,0.32562615866645256,39.238842726491214
10,0,1,2.21041914787434,576.1351186611945,0.32563863061978565,36.80973119394722
10,1,0,2.212726694756651,577.1857077213538,0.3226283239999254,48.82832029650538
10,1,1,2.215442608544876,675.8574036162548,0.32180902770526365,57.35031602431176
10,2,0,2.2117986212672167,610.4974843388567,0.3245051558465731,42.43548289531824
10,2,1,2.215274696990248,578.4534246516301,0.325079887505241,39.696784273789675
10,3,0,2.2150917805703623,660.7766184037446,0.3248377157779184,46.65832998370718
10,3,1,2.214082885712473,604.5097086883579,0.3247614053983726,42.65344442583208
10,4,0,2.209801737244987,655.450112215928,0.3248188141532207,45.84234118161472
10,4,1,2.2155931091342858,602.4524864023025,0.3250713379184477,41.28527387037016
10,5,0,2.2155351629755593,604.8375330134821,0.3262977930689075,38.138130781393365
10,5,1,2.215779587951833,598.3249741735818,0.326484295480873,37.56018905739187
10,6,0,2.2123531850546074,598.7097828654189,0.3342441880986642,20.82914570914311
10,6,1,2.213856306462529,599.7116663489401,0.3346543056181144,19.577884910380668
10,7,0,2.2099205135230355,558.9029682999093,0.3240041069414819,42.06799170009209
10,7,1,2.2161375506181153,648.9804942487561,0.32861247453619724,37.30250794813788
10,8,0,2.2134719289720883,602.4224604186777,0.3259073401978833,40.02345984667471
10,8,1,2.214591158972154,584.3250938757535,0.3239878902270722,42.75367783332788
10,9,0,2.214701766876796,594.7093619318018,0.3254679129442995,39.70686302878529
10,9,1,2.212627806932942,594.1736135356557,0.3260403670891517,38.70377697031725
10,10,0,2.2163248802227944,586.2966625716709,0.32794179319393935,34.09635958878151
10,10,1,2.218797354943562,580.6115835029268,0.32733851328930336,34.48062779542686
10,11,0,2.2174322673817133,604.0695875995004,0.32529651460182163,39.96470504194735
10,11,1,2.21537023570195,598.1710812034943,0.32570645472008425,38.71906970645154
11,0,0,2.2188117157700242,664.9199411004581,0.32317324258619606,49.454459217458975
11,0,1,2.214044350329373,598.1798732980966,0.3239732828047193,42.25764340593356
11,1,0,2.2130966003938397,597.8419443033367,0.3250434054951668,40.55823462947058
11,1,1,2.2199118015078922,662.9433034288437,0.3225908841730095,51.82494474871344
11,2,0,2.210653120301132,640.2965373683899,0.32541267977756233,44.41000283280991
11,2,1,2.212989261987608,600.4139977571627,0.32604415963436234,38.96212830470778
11,3,0,2.213131314786515,659.8654209547675,0.3234190325243398,49.437166372575696
11,3,1,2.2165938767459763,634.5352622036797,0.3248469547219602,44.113283784443574
11,4,0,2.2113532592321277,583.4359484250542,0.32568480947387934,37.79622619386456
11,4,1,2.212224769820102,657.1027673637927,0.32552988969657937,44.34247336992405
11,5,0,2.208164766856715,584.0119038474925,0.3233721145134062,45.99847986536079
11,5,1,2.213157120412052,674.06673586234,0.3244055311502819,50.85103305676778
11,6,0,2.209279959583884,596.5793463498646,0.27417424822389463,179.4516158805916
11,6,1,2.2120801567575636,668.506657339144,0.2780836112953046,169.42331940152872
11,7,0,2.2135369722742957,676.2287623759104,0.32679635822757197,43.24905924853196
11,7,1,2.2157337243352493,633.9715460904233,0.3260647300848458,41.665682725560686
11,8,0,2.212072411952797,609.3065189888524,0.3263153801402706,39.2504835938664
11,8,1,2.213363184395191,638.6978739651704,0.3255514252326211,43.443223439646886
11,9,0,2.217097440329117,643.670794186052,0.3256673430209838,43.08534807958681
11,9,1,2.2160512310484597,660.9670225231366,0.32635959397930747,42.252952116886384
11,10,0,2.215243799771233,655.3305868973504,0.32461809674598274,45.920968192110216
11,10,1,2.2133198349915517,610.1434346997736,0.32524348437280026,41.92405676052483
11,11,0,2.21869044025023,674.2724083559152,0.34088113606067405,11.872816666302324
11,11,1,2.2135727449215423,607.9753306825169,0.33542487060175297,19.451171511992754
12,0,0,2.2164688598603517,596.156268371762,0.3259692163048028,40.10692496014503
12,0,1,2.2132901850462523,650.6314676394816,0.3261478194516235,42.42443285267443
12,1,0,2.2117490239792685,608.1770148525824,0.3263940794387124,38.46893740945638
12,1,1,2.213432168632364,600.0684323427059,0.32709949388254866,36.96225566280358
12,2,0,2.211239545681233,632.1278041582623,0.3261022555267439,40.97566976276634
12,2,1,2.214472534127279,577.5821615901128,0.3233654760416297,44.68230739206398
12,3,0,2.2122207921249513,672.2968702290008,0.3260820370784926,44.439217995535174
12,3,1,2.212120728327586,598.0205276409681,0.3259588157656455,39.25808556312806
12,4,0,2.212402286193707,602.4939275002574,0.3264587711531098,38.65413884523932
12,4,1,2.2083639596467135,608.8540936449104,0.3254559990529714,40.83344287358416
12,5,0,2.209630974832119,630.0313949984916,0.32629297495884935,41.06025339333787
12,5,1,2.213949367899813,678.0302656042336,0.32668363131119155,43.526949577273164
12,6,0,2.2090887223200513,598.1740150519944,0.307548116174247,88.98071703610292
12,6,1,2.2106565194933037,602.5555515790585,0.32783150527695004,34.69905191623914
12,7,0,2.212604177322909,592.36995256436,0.3259309294375755,39.03572392338044
12,7,1,2.206936038477237,600.3505717098533,0.32596614924255995,39.809213668824526
12,8,0,2.2126133747646333,678.37781303257,0.3236567571284181,52.06986908288319
12,8,1,2.211782535689263,579.0178132611458,0.3242861204206934,41.588319151360274
12,9,0,2.215615543851495,573.5754086524389,0.3256430397048833,38.19398724450742
12,9,1,2.2111506475750713,636.9975563736534,0.3253834768135491,43.343186959354384
12,10,0,2.217271450709672,653.6444773940476,0.3246100587113769,46.580362817667904
12,10,1,2.2191097520711947,689.5488942386529,0.32542409986432996,47.05961556466303
12,11,0,2.21995658084161,576.0420739843555,0.3273778353470029,33.89666832977902
12,11,1,2.210555180522299,598.6490694039896,0.32706066836652,36.704769049187796
