layer,strip,end,adc_fit_k,adc_fit_m,tot_fit_k,tot_fit_m
1,0,0,2.3339597207030773,282.82195428728585,0.5667493170811374,-24.98702431487396
1,0,1,2.3343137769181,282.6186060682101,0.5664475130879537,-24.348105247488906
1,1,0,2.32905706647336,287.95543643485837,0.560612705408481,-8.901401601439481
1,1,1,2.3305642374027786,287.1966311298933,0.5607298696438482,-9.045180841113625
1,2,0,2.3311785071808524,286.0757041159896,0.5671397791455167,-27.372708406570663
1,2,1,2.32977162059306,286.70929176470145,0.567055092742181,-27.139744664328525
1,3,0,2.331966450513723,285.4474419763659,0.5681799914478396,-29.10595421554773
1,3,1,2.3329508633647555,284.85358673485786,0.5681709575047227,-28.932909935464874
1,4,0,2.3258477917260088,290.0551335968181,0.5663763503474901,-24.16302656596921
1,4,1,2.3256515734131016,290.2535799805051,0.5661182209264551,-23.716465529780542
1,5,0,2.3348675442468947,282.19592249283846,0.565527029343238,-21.468405386630593
1,5,1,2.335295280240474,281.96686940999274,0.5659059445127921,-22.21643442437285
1,6,0,2.3350248285231965,282.21506664342,0.5668113138163771,-25.80703157504076
1,6,1,2.3340294823714034,282.6764181843014,0.5668732608469553,-26.190311380374762
1,7,0,2.3353381828313604,282.4433544109168,0.5672589761636171,-27.800062221071858
1,7,1,2.335039414302962,282.67456010873366,0.5675906389853138,-28.577214629394174
2,0,0,2.337119896059975,283.3688949567732,0.5647773531611887,-9.44939432450303
2,0,1,2.3370481220387593,283.18501684680535,0.564963326385348,-10.071676526960344
2,1,0,2.3370793601561406,282.3776576370431,0.5669147096911119,-18.30838434126494
2,1,1,2.336243857911237,282.58191758285966,0.566542090183512,-17.17090290706125
2,2,0,2.3326503443896938,284.4906526298242,0.5668034085544696,-18.083517765883744
2,2,1,2.332907012490922,284.41683989266613,0.5666755081779175,-17.625563528239695
2,3,0,2.329481938403364,285.71071025789615,0.5644337972367464,-7.253459345648081
2,3,1,2.3257433174503954,288.31872626437627,0.5643822335364935,-7.527272922311211
2,4,0,2.3348922142693236,282.9362981641503,0.5642933935983082,-6.238879536742017
2,4,1,2.3344283332919216,283.07241821469006,0.564448769792773,-7.045500918428746
2,5,0,2.334217226539688,284.1689837533788,0.5671457091011669,-18.674144012976747
2,5,1,2.33383816965689,284.11688903899466,0.5671656041286265,-18.992813809386558
2,6,0,2.333008232332586,283.8579543808168,0.5624925827216758,2.4162909167168545
2,6,1,2.3355396472188485,282.82501295387647,0.5617511110758452,5.856320024113702
2,7,0,2.3266826737855633,287.3857965600368,0.56506315891789,-10.907565072531906
2,7,1,2.3264384586833136,287.3598603091736,0.5648310926885487,-10.191232794185549
3,0,0,2.335326617580167,283.909228993401,0.5658096486057437,-6.632436504799381
3,0,1,2.3360735225564357,283.6157478342937,0.5652595637999461,-4.884826071092131
3,1,0,2.3368048680928846,282.6729157481481,0.5665213552172187,-10.96276638184041
3,1,1,2.3369200053379307,282.6539423040817,0.5665646914412934,-10.630091496962802
3,2,0,2.331433639409187,285.6894752481349,0.5649773930298225,-3.7002133186862554
3,2,1,2.3319861104964676,285.5109626482652,0.564851974065181,-3.3960696469240133
3,3,0,2.3370825588464723,282.30711900727505,0.5670981081647178,-13.164922637944697
3,3,1,2.336891084144499,282.314450899332,0.5673944731472176,-14.1598696070096
3,4,0,2.329819165492352,286.5390302636923,0.5656485201819123,-5.906907462593575
3,4,1,2.3305749772630224,286.365906743158,0.5658986736004408,-7.365519343106105
3,5,0,2.336226177751969,282.9985546950868,0.5666910709523169,-11.804735792192366
3,5,1,2.33542234233815,283.4223787398769,0.5667203797803056,-12.182594410952372
3,6,0,2.3332546449148226,285.0811827863833,0.562801192812829,6.0987001064689315
3,6,1,2.3352661924886466,284.20531124977873,0.5627093926172065,6.295194260741356
3,7,0,2.333689663330984,284.1162628707514,0.5667539466075373,-14.662850529380679
