layer,strip,end,adc_fit_k,adc_fit_m,tot_fit_k,tot_fit_m
1,0,0,2.3361170048693225,281.5555375697553,0.5671332632940148,-24.09309875568454
1,0,1,2.337355933060568,281.2451392784308,0.5663167497728174,-22.550232915036464
1,1,0,2.3343347062940847,285.6897890327793,0.5648166908341468,-21.42135224737052
1,1,1,2.3399060751454632,284.3297113755992,0.5657130675713904,-23.70598354620464
1,2,0,2.338025221531318,280.8173181481058,0.5683513877272256,-30.28950511902177
1,2,1,2.336371855853597,281.2126596140671,0.5687518466060335,-30.96470703515573
1,3,0,2.3254364395199865,290.4240499495758,0.569077911043943,-31.59229832771827
1,3,1,2.3276042985443386,289.0863107314626,0.5698412347164992,-32.9112012822433
1,4,0,2.3341267388187084,282.190746557998,0.564752149438927,-17.951133883414418
1,4,1,2.333086547568609,282.87186052310466,0.5646870557459279,-17.973726347046014
1,5,0,2.33311773506527,282.7309304100478,0.5681936866460388,-27.607642990001263
1,5,1,2.33240911522444,283.34564130963633,0.568391687226313,-27.819301683515985
1,6,0,2.3347893169778957,281.98584416636936,0.5692954014541227,-31.5114637956118
1,6,1,2.33375642550089,282.1745359945166,0.5696698550945831,-32.928859521310486
1,7,0,2.333363613363212,283.22675290144474,0.5673876072476611,-27.93353844970145
1,7,1,2.332357087180336,283.6776197586042,0.5673562509680926,-27.98148812581029
2,0,0,2.334903069057802,283.26404991510486,0.5692400467781369,-28.995668113035546
2,0,1,2.3345823798789422,283.18899773824825,0.5690103745704794,-28.498959072439526
2,1,0,2.3329751218544468,283.952317226837,0.5659024129445036,-11.078730242065204
2,1,1,2.33451538664316,282.93170439829265,0.5642782994936186,-6.379574521306297
2,2,0,2.329849764306837,285.8361906108553,0.5659576956327217,-16.295932857490204
2,2,1,2.3305886683681383,285.1554681260849,0.5658342156231656,-15.704022677782051
2,3,0,2.3296897166944546,288.26497630783246,0.5629436344474886,0.012550017874852045
2,3,1,2.3284267673017753,288.98384334090747,0.5632699766675197,-0.9429832081551887
2,4,0,2.3364200837961806,281.3570957347729,0.5664594879845603,-16.016322189236604
2,4,1,2.336911679638814,281.3607548258545,0.5662119085190408,-15.251048189564846
2,5,0,2.3289574570165748,287.39960091938144,0.5694244410327127,-29.360920424143863
