DPM,,HGCROC,Channel,CMB,Quadbar,Bar,Plane,AllBar,Elink,End
0,125,1,68,16,2,2,8,6,3,1
0,126,1,69,16,2,3,8,7,3,1
0,127,1,70,16,2,4,8,8,3,1
0,128,2,0,1,1,1,9,1,4,0
0,129,2,1,1,1,2,9,2,4,0
0,130,2,2,1,1,3,9,3,4,0
0,131,2,3,1,1,4,9,4,4,0
0,132,2,4,2,1,1,9,1,4,1
0,133,2,5,2,1,2,9,2,4,1
0,134,2,6,2,1,3,9,3,4,1
0,135,2,7,2,1,4,9,4,4,1
0,136,2,9,3,2,1,9,5,4,0
0,137,2,10,3,2,2,9,6,4,0
0,138,2,11,3,2,3,9,7,4,0
0,139,2,12,3,2,4,9,8,4,0
0,140,2,13,4,2,1,9,5,4,1
0,141,2,14,4,2,2,9,6,4,1
0,142,2,15,4,2,3,9,7,4,1
0,143,2,16,4,2,4,9,8,4,1
0,144,2,18,5,1,1,10,1,4,0
0,145,2,19,5,1,2,10,2,4,0
0,146,2,20,5,1,3,10,3,4,0
0,147,2,21,5,1,4,10,4,4,0
0,148,2,22,6,1,1,10,1,4,1
0,149,2,23,6,1,2,10,2,4,1
0,150,2,24,6,1,3,10,3,4,1
0,151,2,25,6,1,4,10,4,4,1
0,152,2,27,7,2,1,10,5,4,0
0,153,2,28,7,2,2,10,6,4,0
0,154,2,29,7,2,3,10,7,4,0
0,155,2,30,7,2,4,10,8,4,0
0,156,2,31,8,2,1,10,5,4,1
0,157,2,32,8,2,2,10,6,4,1
0,158,2,33,8,2,3,10,7,4,1
0,159,2,34,8,2,4,10,8,4,1
0,160,2,36,9,3,1,10,9,5,0
0,161,2,37,9,3,2,10,10,5,0
0,162,2,38,9,3,3,10,11,5,0
0,163,2,39,9,3,4,10,12,5,0
0,164,2,40,10,3,1,10,9,5,1
0,165,2,41,10,3,2,10,10,5,1
0,166,2,42,10,3,3,10,11,5,1
0,167,2,43,10,3,4,10,12,5,1
