DPM,LINK,CHAN,PLANE,STRIP,END
1,1,7,13,4,1
1,1,9,13,11,0
1,1,10,13,10,0
1,1,11,13,9,0
1,1,12,13,8,0
1,1,13,13,11,1
1,1,14,13,10,1
1,1,15,13,9,1
1,1,16,13,8,1
1,1,18,14,0,0
1,1,19,14,1,0
1,1,20,14,2,0
1,1,21,14,3,0
1,1,22,14,0,1
1,1,23,14,1,1
1,1,24,14,2,1
1,1,25,14,3,1
1,1,27,14,4,0
1,1,28,14,5,0
1,1,29,14,6,0
1,1,30,14,7,0
1,1,31,14,4,1
1,1,32,14,5,1
1,1,33,14,6,1
1,1,34,14,7,1
1,2,0,14,8,0
1,2,1,14,9,0
1,2,2,14,10,0
1,2,3,14,11,0
1,2,4,14,8,1
1,2,5,14,9,1
1,2,6,14,10,1
1,2,7,14,11,1
1,2,9,15,3,0
1,2,10,15,2,0
1,2,11,15,1,0
1,2,12,15,0,0
1,2,13,15,3,1
1,2,14,15,2,1
1,2,15,15,1,1
1,2,16,15,0,1
1,2,18,15,7,0
1,2,19,15,6,0
1,2,20,15,5,0
1,2,21,15,4,0
1,2,22,15,7,1
1,2,23,15,6,1
1,2,24,15,5,1
1,2,25,15,4,1
1,2,27,15,11,0
1,2,28,15,10,0
1,2,29,15,9,0
1,2,30,15,8,0
1,2,31,15,11,1
1,2,32,15,10,1
1,2,33,15,9,1
1,2,34,15,8,1
1,3,0,16,0,0
1,3,1,16,1,0
1,3,2,16,2,0
1,3,3,16,3,0
1,3,4,16,0,1
1,3,5,16,1,1
1,3,6,16,2,1
1,3,7,16,3,1
1,3,9,16,4,0
1,3,10,16,5,0
1,3,11,16,6,0
1,3,12,16,7,0
1,3,13,16,4,1
1,3,14,16,5,1
1,3,15,16,6,1
1,3,16,16,7,1
1,3,18,16,8,0
1,3,19,16,9,0
1,3,20,16,10,0
1,3,21,16,11,0
1,3,22,16,8,1
1,3,23,16,9,1
1,3,24,16,10,1
1,3,25,16,11,1
1,3,27,17,3,0
1,3,28,17,2,0
1,3,29,17,1,0
1,3,30,17,0,0
1,3,31,17,3,1
1,3,32,17,2,1
1,3,33,17,1,1
1,3,34,17,0,1
1,4,0,17,7,0
1,4,1,17,6,0
1,4,2,17,5,0
1,4,3,17,4,0
1,4,4,17,7,1
1,4,5,17,6,1
1,4,6,17,5,1
1,4,7,17,4,1
1,4,9,17,11,0
1,4,10,17,10,0
1,4,11,17,9,0
1,4,12,17,8,0
1,4,13,17,11,1
1,4,14,17,10,1
1,4,15,17,9,1
1,4,16,17,8,1
1,4,18,18,0,0
1,4,19,18,1,0
1,4,20,18,2,0
1,4,21,18,3,0
1,4,22,18,0,1
1,4,23,18,1,1
1,4,24,18,2,1
1,4,25,18,3,1
1,4,27,18,4,0
1,4,28,18,5,0
1,4,29,18,6,0
1,4,30,18,7,0
1,4,31,18,4,1
1,4,32,18,5,1
1,4,33,18,6,1
1,4,34,18,7,1
1,5,0,18,8,0
1,5,1,18,9,0
1,5,2,18,10,0
1,5,3,18,11,0
1,5,4,18,8,1
1,5,5,18,9,1
1,5,6,18,10,1
