,bins,data,MC
0,0.0,0.9999999999999968,1.0000000000000053
1,0.1,0.9996348899193075,0.9971830985915546
2,0.2,0.9980649165723434,0.9957746478873293
3,0.30000000000000004,0.996640987257655,0.9950704225352166
4,0.4,0.9951075249187599,0.9947183098591602
5,0.5,0.993428018547589,0.9947183098591602
6,0.6000000000000001,0.9926977983862103,0.9947183098591602
7,0.7000000000000001,0.9913834020957287,0.9947183098591602
8,0.8,0.9908357369746947,0.9947183098591602
9,0.9,0.99065318193435,0.9947183098591602
10,1.0,0.9899959837891092,0.9943661971831038
11,1.1,0.9893387856438685,0.9943661971831038
12,1.2000000000000002,0.9886815874986277,0.9943661971831038
13,1.3,0.9878053233049733,0.9943661971831038
14,1.4000000000000001,0.9872576581839393,0.9943661971831038
15,1.5,0.98689254810325,0.9940140845070474
16,1.6,0.9865274380225607,0.9940140845070474
17,1.7000000000000002,0.9857241958450442,0.9940140845070474
18,1.8,0.9854321077804927,0.9940140845070474
19,1.9000000000000001,0.985249552740148,0.9940140845070474
20,2.0,0.9845193325787693,0.9940140845070474
21,2.1,0.9842637555222868,0.9940140845070474
22,2.2,0.9837526014093217,0.9940140845070474
23,2.3000000000000003,0.9829858702398742,0.9940140845070474
24,2.4000000000000004,0.9829493592318053,0.9940140845070474
25,2.5,0.9824016941107713,0.9940140845070474
26,2.6,0.9821096060462198,0.9940140845070474
27,2.7,0.9818175179816683,0.9940140845070474
28,2.8000000000000003,0.9815619409251858,0.9940140845070474
29,2.9000000000000004,0.9812333418525654,0.9940140845070474
30,3.0,0.9809412537880139,0.9940140845070474
31,3.1,0.9806491657234624,0.9940140845070474
32,3.2,0.9805396326992556,0.9940140845070474
33,3.3000000000000003,0.980320566650842,0.9940140845070474
34,3.4000000000000004,0.9801745226185663,0.9940140845070474
35,3.5,0.9800284785862906,0.9940140845070474
36,3.6,0.9799189455620838,0.9940140845070474
37,3.7,0.9797729015298081,0.9940140845070474
38,3.8000000000000003,0.9796998795136702,0.9940140845070474
39,3.9000000000000004,0.9796268574975323,0.9940140845070474
40,4.0,0.9795903464894634,0.9940140845070474
41,4.1000000000000005,0.9795173244733255,0.9940140845070474
42,4.2,0.9794443024571876,0.9940140845070474
43,4.3,0.9793712804410497,0.9940140845070474
44,4.4,0.9792617474168429,0.9940140845070474
45,4.5,0.9790426813684293,0.9940140845070474
46,4.6000000000000005,0.9790061703603604,0.9940140845070474
47,4.7,0.9788966373361536,0.9940140845070474
48,4.800000000000001,0.9788601263280847,0.993661971830991
49,4.9,0.9788601263280847,0.993661971830991
50,5.0,0.9787871043119468,0.993661971830991
51,5.1000000000000005,0.9787871043119468,0.993661971830991
52,5.2,0.9787505933038779,0.993661971830991
53,5.300000000000001,0.978714082295809,0.993661971830991
54,5.4,0.9786775712877401,0.993661971830991
55,5.5,0.9786410602796712,0.993661971830991
56,5.6000000000000005,0.9786045492716023,0.993661971830991
57,5.7,0.9786045492716023,0.993661971830991
58,5.800000000000001,0.9785680382635334,0.993661971830991
59,5.9,0.9785680382635334,0.993661971830991
60,6.0,0.9785315272554646,0.993661971830991
61,6.1000000000000005,0.9784585052393266,0.993661971830991
62,6.2,0.9783489722151198,0.993661971830991
63,6.300000000000001,0.978312461207051,0.993661971830991
64,6.4,0.978239439190913,0.993661971830991
65,6.5,0.9781299061667063,0.993661971830991
66,6.6000000000000005,0.9780933951586374,0.993661971830991
67,6.7,0.9780568841505685,0.993661971830991
68,6.800000000000001,0.9780568841505685,0.993661971830991
69,6.9,0.9780203731424996,0.993661971830991
70,7.0,0.9779473511263617,0.993661971830991
71,7.1000000000000005,0.9779473511263617,0.993661971830991
72,7.2,0.9778378181021549,0.993661971830991
73,7.300000000000001,0.977801307094086,0.993661971830991
74,7.4,0.9777647960860171,0.993661971830991
75,7.5,0.9777282850779482,0.993661971830991
76,7.6000000000000005,0.9777282850779482,0.993661971830991
77,7.7,0.9776552630618103,0.993661971830991
78,7.800000000000001,0.9776187520537414,0.993661971830991
79,7.9,0.9776187520537414,0.993661971830991
80,8.0,0.9776187520537414,0.993661971830991
81,8.1,0.9776187520537414,0.993661971830991
82,8.200000000000001,0.9775457300376035,0.9933098591549346
83,8.3,0.9773996860053278,0.9933098591549346
84,8.4,0.9773266639891899,0.9933098591549346
85,8.5,0.977253641973052,0.9933098591549346
86,8.6,0.977253641973052,0.9933098591549346
87,8.700000000000001,0.9772171309649831,0.9933098591549346
88,8.8,0.9772171309649831,0.9933098591549346
89,8.9,0.9772171309649831,0.9933098591549346
90,9.0,0.9770710869327074,0.9933098591549346
91,9.1,0.9769615539085006,0.9933098591549346
92,9.200000000000001,0.9768520208842938,0.9933098591549346
93,9.3,0.9767789988681559,0.9933098591549346
94,9.4,0.9767789988681559,0.9933098591549346
95,9.5,0.976742487860087,0.9929577464788782
96,9.600000000000001,0.9766694658439491,0.9929577464788782
97,9.700000000000001,0.9766329548358802,0.9929577464788782
98,9.8,0.9765964438278113,0.9929577464788782
99,9.9,0.9765599328197424,0.9929577464788782
100,10.0,0.9765599328197424,0.9929577464788782
101,10.100000000000001,0.9765234218116735,0.9929577464788782
102,10.200000000000001,0.9765234218116735,0.9929577464788782
103,10.3,0.9764869108036046,0.9929577464788782
104,10.4,0.9764869108036046,0.9929577464788782
105,10.5,0.9764869108036046,0.9929577464788782
106,10.600000000000001,0.9764869108036046,0.9929577464788782
107,10.700000000000001,0.9764869108036046,0.9929577464788782
108,10.8,0.9764503997955357,0.9929577464788782
109,10.9,0.9764138887874668,0.9929577464788782
