layer,strip,end,pedestal,mean,std_dev,pedestal_per_time_sample
11,0,0,840,6.4691807163794355,11.094881638394613,105
11,0,1,760,-5.023101665613884,8.234943822009809,95
11,1,0,760,-5.148795677619549,8.32173734160251,95
11,1,1,840,3.6869261250567327,9.720595080753558,105
11,2,0,808,0.4565763712340376,9.634842182306857,101
11,2,1,760,-2.1248057900145625,9.062710119518911,95
11,3,0,840,-3.4832988828761873,13.92131131422907,105
11,3,1,808,-2.764984468805282,13.739005899563825,101
11,4,0,728,8.62302841540692,13.69518599210476,91
11,4,1,824,10.593361272209357,14.236513573782116,103
11,5,0,728,7.206998252060458,13.943120700283835,91
11,5,1,856,-2.1457769876586035,16.501591756942364,107
11,6,0,760,-8.963766625178724,9.833516424936727,95
11,6,1,840,6.22549090198418,12.656256424167406,105
11,7,0,856,1.2612388719200907,13.938960733437082,107
11,7,1,808,-5.906926604507618,15.514400715328428,101
11,8,0,760,16.96361019736842,11.832284893637164,95
11,8,1,808,0.8901665181936544,11.568374312698428,101
11,9,0,824,-7.8594141482879145,9.631435121460173,103
11,9,1,840,-1.6169499164832835,10.184473651783263,105
11,10,0,824,8.061595607639106,9.85175180692499,103
11,10,1,760,20.704970860187263,11.605417404124147,95
11,11,0,856,1.5518800699143998,10.043625527333122,107
11,11,1,760,17.668448934224916,11.329523605167829,95
