layer,strip,end,pedestal,mean,std_dev,pedestal_per_time_sample
1,0,0,760,-0.3984966946607297,7.596128774806383,95
1,0,1,840,-6.9104835138290595,8.64322909792518,105
1,1,0,760,-2.265419586494469,12.421653662181884,95
1,1,1,760,14.022914491240282,17.320538133472855,95
1,2,0,744,-7.3456634028247425,8.657299351520223,93
1,2,1,824,4.590377801410446,8.91180313290684,103
1,3,0,728,8.025187580787195,10.217989812986051,91
1,3,1,824,-2.9533527997074893,11.551124574826023,103
1,4,0,824,6.983813735123922,9.355395798558359,103
1,4,1,760,0.9905867587072482,8.194789505413905,95
1,5,0,792,2.940509553598387,9.155560249534986,99
1,5,1,744,0.1680906349807137,8.011833933692872,93
1,6,0,824,-4.07372673789394,9.195347808367409,103
1,6,1,840,0.3996533598060117,9.392611898535339,105
1,7,0,696,11.355217771880108,19.823817782347216,87
1,7,1,856,-9.873579113974644,8.916786759028893,107
2,0,0,760,4.125813332673178,7.571977668245566,95
2,0,1,760,2.9817586162790217,7.257083230379045,95
2,1,0,760,14.272654213848412,9.557101425320582,95
2,1,1,824,-4.682468554336544,8.010605234375081,103
2,2,0,760,10.199009678375424,9.932431532790174,95
2,2,1,840,-1.6213070953833264,9.89343420250123,105
2,3,0,856,-2.6055470279997883,10.908578145388608,107
2,3,1,856,4.172092136818199,10.042127966656984,107
2,4,0,744,3.841171564677777,9.231376769417539,93
2,4,1,760,0.0072233975884312554,8.371072420306302,95
2,5,0,760,3.929250091399815,8.973185340859514,95
2,5,1,760,-1.7267617142980023,7.9858083877060135,95
2,6,0,856,0.47157687253613667,9.80337185378448,107
2,6,1,824,-7.865489314919692,8.296839488968159,103
2,7,0,856,-2.373408421169686,11.279986568684425,107
2,7,1,824,6.674003264534526,10.68694656151961,103
3,0,0,728,-4.059174903662074,12.418525365724609,91
3,0,1,760,8.682350524780743,11.837547960694037,95
3,1,0,728,-3.4871919833279956,10.831182066209198,91
3,1,1,728,3.4566284855010583,10.364121055802725,91
3,2,0,760,18.549172902408245,11.8079870868358,95
3,2,1,856,5.6670890516758385,14.301615277828278,107
3,3,0,808,4.2416586776905305,13.424196431764619,101
3,3,1,760,-4.162380374489496,13.520092624740942,95
3,4,0,744,-8.616595436983316,10.396188545270928,93
3,4,1,792,-6.516685193779207,11.17482924265926,99
3,5,0,840,1.4739839104582022,8.292989469113254,105
3,5,1,824,8.781017660430145,9.05962641548274,103
3,6,0,792,-3.77644592513983,10.721472039109111,99
3,6,1,840,5.954582425373297,12.334968890076372,105
3,7,0,792,0.21075116428621166,12.587163908989389,99
3,7,1,760,3.4493129364543016,9.757209395606713,95
4,0,0,856,-8.569511318230223,13.112027078171677,107
4,0,1,760,0.631819029384076,10.936627182675617,95
4,1,0,824,-3.7757845461393074,9.372090775291102,103
4,1,1,808,-3.2934263730677698,11.729000278519832,101
4,2,0,856,-5.5319883952977476,10.440522600634544,107
4,2,1,808,-3.668155394074902,9.326508971694924,101
4,3,0,792,6.129821893369988,12.025438191869354,99
4,3,1,792,-9.407332666514586,12.680237171012118,99
4,4,0,808,-1.5248749643132817,12.62104168595124,101
4,4,1,760,-6.143829170808044,9.56304374189553,95
4,5,0,760,4.767237676247481,11.981165916690895,95
4,5,1,760,-12.37494927187444,12.754035965539435,95
4,6,0,760,6.876400663394594,10.720500465553481,95
4,6,1,760,11.550265819747692,10.117633787093512,95
4,7,0,824,-1.5122666799458873,10.919894214994347,103
4,7,1,744,-0.38295877041561543,9.693069428054587,93
5,0,0,824,3.9748236983235503,10.36363343691871,103
5,0,1,760,19.71412283368805,11.105115105162792,95
5,1,0,696,8.737987583563676,11.379619351085257,87
5,1,1,856,2.0937940169996687,12.71969330444309,107
5,2,0,760,-14.21654184139669,12.010713710000045,95
5,2,1,808,-6.691474904414673,13.579255564880736,101
5,3,0,760,-4.5721292891309755,10.473221974674273,95
5,3,1,808,-3.560408325775841,13.539361207452377,101
5,4,0,840,3.2527189068600113,10.943779786164894,105
5,4,1,744,-4.508039738067375,9.650307532646575,93
5,5,0,840,-4.145100044464206,11.923512339519213,105
5,5,1,744,-6.628460519177924,10.945395633532009,93
5,6,0,824,-2.3336190757311703,12.62062054581275,103
5,6,1,760,1.9698263488790506,11.15449514312501,95
5,7,0,728,-4.9365914703883575,9.613374721733672,91
5,7,1,712,1.2050173834850677,10.165590375784035,89
6,0,0,872,-8.208322567150223,11.671818650048149,109
6,0,1,808,-10.46228396125042,11.511229221472583,101
6,1,0,728,5.4533921848399585,11.25389652990485,91
6,1,1,760,8.624292127839267,10.882229291821934,95
6,2,0,824,-7.253451937096948,11.181278832872533,103
6,2,1,808,2.608640767198356,11.546373596302416,101
6,3,0,760,10.025053995680345,13.234968194009252,95
6,3,1,760,-9.83216849054096,11.924854539438707,95
6,4,0,760,9.6415927105852,11.975380605002142,95
6,4,1,840,5.2759557401297075,13.80942543480068,105
6,5,0,824,-4.275509379405716,11.30411049560161,103
6,5,1,728,3.1730978187663323,10.527176528051472,91
6,6,0,824,-8.277724123802715,11.741523585598966,103
6,6,1,872,-3.9944771707729037,9.885339433602654,109
6,7,0,760,-11.112554148861669,9.817901230518508,95
6,7,1,760,8.604466064202294,8.959875060262474,95
7,0,0,792,-2.0821295160515585,11.133423413934729,99
7,0,1,792,6.120225589292452,12.828015846271914,99
7,1,0,744,2.6107197639134347,12.903274853546938,93
7,1,1,728,-7.558606798363589,13.961492239867443,91
7,2,0,728,8.727136717521608,14.960169033574521,91
7,2,1,760,16.156476535673406,14.827407159563334,95
7,3,0,808,-2.5715674003520874,13.530830187212548,101
7,3,1,728,-6.278545532313584,15.3517938897932,91
7,4,0,808,5.517146333473724,14.851449628451224,101
7,4,1,760,11.465581227740936,15.034377836025376,95
7,5,0,824,-1.6083336463458915,13.302566839585259,103
7,5,1,824,-7.696219959946595,13.641124015866035,103
7,6,0,1320,-2.512787087768838,23.632633850954424,165
7,6,1,792,0.8876192983085863,12.252950663251708,99
7,7,0,728,4.425162748890039,10.494319682585678,91
7,7,1,824,9.068606469988561,10.429401866422674,103
8,0,0,824,-7.217825296303976,11.932922996174694,103
8,0,1,808,3.478271967328186,12.351033362304882,101
8,1,0,792,-2.2824684757975477,14.301940102361362,99
8,1,1,840,-2.936462312474855,13.387169930450915,105
8,2,0,760,-4.672734367935887,14.706614303315853,95
8,2,1,824,7.215863449042936,14.35071966819286,103
8,3,0,760,5.095261293629287,14.338414472357748,95
8,3,1,744,-4.992009329209552,15.816019912187539,93
8,4,0,744,1.9062741987713476,13.647801670866855,93
8,4,1,840,-0.37373362752922396,15.588361866401607,105
8,5,0,760,1.6834805126664494,12.66016572576978,95
8,5,1,840,-1.2435245221689888,14.066153690917032,105
8,6,0,824,3.962200086959959,12.035301829854678,103
8,6,1,760,10.033762394628368,12.109514672299959,95
8,7,0,824,-4.203285805026129,11.164178681027598,103
8,7,1,760,-7.682468812579381,9.687882705162501,95
